# name,industry,website,description  — synthetic company pool for generate_activity.py
Millbrook Consulting Ltd,Consulting,https://millbrook-consulting.co.uk,Management consulting and interim executive placement.
Prism Technology Ltd,Technology,https://prism-technology.ie,Software development and digital transformation services.
Tidal Energy Corp,Energy,https://tidal-energy.com,Marine renewable energy and hydroelectric projects.
Sterling Financial Services,Finance,https://sterling-financial.co.uk,Wealth management and private client advisory.
Meridian Manufacturing Ltd,Manufacturing,https://meridian-mfg.ie,Precision engineering and tooling for electronics.
Pavilion Hospitality Ltd,Hospitality,https://pavilion-hospitality.co.uk,Restaurant group and food service operations.
Axiom Insurance Brokers,Insurance,https://axiom-insurance.io,Commercial and brokerage insurance services.
Calibre Engineering Group,Engineering,https://calibre-engineering.co.uk,Mechanical and process engineering design.
Crescent Biotechnology Ltd,Biotechnology,https://crescent-biotech.ie,Medical research and clinical trial management.
Zenith Banking Corp,Banking,https://zenith-banking.com,Corporate and investment banking services.
Landmark Education Solutions,Education,https://landmark-education.co.uk,Higher education recruitment and student services.
Harmony Communications Ltd,Communications,https://harmony-comms.ie,Telecom infrastructure and mobile backhaul.
Polygon Electronics Ltd,Electronics,https://polygon-electronics.co.uk,Semiconductor testing and quality assurance.
Riverside Construction Group,Construction,https://riverside-construction.ie,Infrastructure and heavy civil engineering.
Ascot Retail Ltd,Retail,https://ascot-retail.co.uk,Supermarket and convenience store operator.
Cascade Media Ltd,Media,https://cascade-media.ie,Digital publishing and content management platforms.
Triumph Transportation Ltd,Transportation,https://triumph-transport.co.uk,Coach hire and passenger transport services.
Equinox Utilities Ltd,Utilities,https://equinox-utilities.io,Smart metering and energy efficiency solutions.
Fortnight Chemicals Ltd,Chemicals,https://fortnight-chemicals.co.uk,Industrial adhesives and sealant manufacturing.
Reverie Healthcare Ltd,Healthcare,https://reverie-healthcare.ie,Home care services and elderly support provision.
Silversmith Consulting,Consulting,https://silversmith-consulting.co.uk,Operations and supply chain optimization.
Nimbus Technology Group,Technology,https://nimbus-technology.ie,Mobile app development and UX design studios.
Lakeside Agricultural Ltd,Agriculture,https://lakeside-agri.co.uk,Organic farming certification and premium food labels.
Topaz Telecommunications Ltd,Telecommunications,https://topaz-telecom.ie,Fixed-line and broadband service provider.
Pinnacle Finance Holdings,Finance,https://pinnacle-finance.com,Investment management and hedge fund operations.
Ironworks Manufacturing Ltd,Manufacturing,https://ironworks-mfg.co.uk,Metal fabrication and bespoke engineering.
Crescent Entertainment Ltd,Entertainment,https://crescent-entertainment.co.uk,Venue management and ticketing systems.
Cornerstone Banking Services,Banking,https://cornerstone-banking.io,Community banking and credit union support.
Everest Biotechnology Group,Biotechnology,https://everest-biotech.co.uk,Gene therapy and immunotherapy research.
Beacon Construction Ltd,Construction,https://beacon-construction.ie,Residential development and house building.
Cascade Engineering Solutions,Engineering,https://cascade-engineering.co.uk,Process automation and industrial control systems.
Willow Healthcare Group,Healthcare,https://willow-healthcare.com,Private healthcare and cosmetic surgery clinics.
Summit Insurance Ltd,Insurance,https://summit-insurance.ie,Life insurance and pension products.
